date,dau
2024-01-01,6
2024-01-02,18
2024-01-03,29
2024-01-04,37
2024-01-05,44
2024-01-06,37
2024-01-07,39
2024-01-08,71
2024-01-09,85
2024-01-10,86
2024-01-11,91
2024-01-12,94
2024-01-13,80
2024-01-14,83
2024-01-15,121
2024-01-16,112
2024-01-17,129
2024-01-18,137
2024-01-19,132
2024-01-20,102
2024-01-21,98
2024-01-22,157
2024-01-23,185
2024-01-24,170
2024-01-25,195
2024-01-26,208
2024-01-27,171
2024-01-28,160
2024-01-29,256
2024-01-30,268
2024-01-31,281
2024-02-01,291
2024-02-02,312
2024-02-03,240
2024-02-04,282
2024-02-05,340
2024-02-06,377
2024-02-07,336
2024-02-08,379
2024-02-09,386
2024-02-10,292
2024-02-11,269
2024-02-12,373
2024-02-13,385
2024-02-14,360
2024-02-15,368
2024-02-16,380
2024-02-17,287
2024-02-18,272
2024-02-19,393
2024-02-20,365
2024-02-21,394
2024-02-22,408
2024-02-23,436
2024-02-24,318
2024-02-25,350
2024-02-26,474
2024-02-27,518
2024-02-28,534
2024-02-29,557
2024-03-01,611
2024-03-02,478
2024-03-03,492
2024-03-04,660
2024-03-05,664
2024-03-06,622
2024-03-07,666
2024-03-08,653
2024-03-09,500
2024-03-10,458
2024-03-11,682
2024-03-12,662
2024-03-13,658
2024-03-14,664
2024-03-15,650
2024-03-16,460
2024-03-17,475
2024-03-18,583
2024-03-19,614
2024-03-20,662
2024-03-21,625
2024-03-22,641
2024-03-23,490
2024-03-24,507
2024-03-25,736
2024-03-26,706
2024-03-27,755
2024-03-28,806
2024-03-29,570
2024-03-30,633
2024-03-31,656
2024-04-01,903
2024-04-02,924
2024-04-03,953
2024-04-04,954
2024-04-05,973
2024-04-06,748
2024-04-07,779
2024-04-08,947
2024-04-09,956
2024-04-10,970
2024-04-11,984
2024-04-12,954
2024-04-13,709
2024-04-14,690
2024-04-15,935
2024-04-16,908
2024-04-17,882
2024-04-18,850
2024-04-19,834
2024-04-20,599
2024-04-21,400
2024-04-22,844
2024-04-23,917
2024-04-24,894
2024-04-25,991
2024-04-26,1052
2024-04-27,777
2024-04-28,811
2024-04-29,1107
2024-04-30,1155
2024-05-01,836
2024-05-02,1239
2024-05-03,1218
2024-05-04,968
2024-05-05,1041
2024-05-06,1288
2024-05-07,1305
2024-05-08,1296
2024-05-09,1272
2024-05-10,1279
2024-05-11,945
2024-05-12,928
2024-05-13,1242
2024-05-14,1219
2024-05-15,1171
2024-05-16,1172
2024-05-17,1106
2024-05-18,838
2024-05-19,850
2024-05-20,1145
2024-05-21,1134
2024-05-22,1157
2024-05-23,1187
2024-05-24,1172
2024-05-25,940
2024-05-26,957
2024-05-27,1362
2024-05-28,1346
2024-05-29,1435
2024-05-30,1467
2024-05-31,1527
2024-06-01,1122
2024-06-02,1167
2024-06-03,1633
2024-06-04,1567
2024-06-05,1645
2024-06-06,1622
2024-06-07,1627
2024-06-08,1252
2024-06-09,1241
2024-06-10,1575
2024-06-11,1588
2024-06-12,1569
2024-06-13,1518
2024-06-14,1477
2024-06-15,1060
2024-06-16,1046
2024-06-17,1356
2024-06-18,1382
2024-06-19,1377
2024-06-20,1409
2024-06-21,1412
2024-06-22,1001
