cohort,month,age_months,active_accounts,cohort_size,retention
2024-01-01,2024-01-01,0,476,504,0.9444444444444444
2024-01-01,2024-02-01,1,504,504,1.0
2024-01-01,2024-03-01,2,504,504,1.0
2024-01-01,2024-04-01,3,504,504,1.0
2024-01-01,2024-05-01,4,504,504,1.0
2024-01-01,2024-06-01,5,504,504,1.0
2024-01-01,2024-07-01,6,504,504,1.0
2024-01-01,2024-08-01,7,504,504,1.0
2024-01-01,2024-09-01,8,504,504,1.0
2024-01-01,2024-10-01,9,504,504,1.0
2024-01-01,2024-11-01,10,504,504,1.0
2024-01-01,2024-12-01,11,504,504,1.0
2024-01-01,2025-01-01,12,499,504,0.9900793650793651
2024-01-01,2025-02-01,13,480,504,0.9523809523809523
2024-01-01,2025-03-01,14,471,504,0.9345238095238095
2024-01-01,2025-04-01,15,455,504,0.9027777777777778
2024-01-01,2025-05-01,16,441,504,0.875
2024-01-01,2025-06-01,17,426,504,0.8452380952380952
2024-01-01,2025-07-01,18,412,504,0.8174603174603174
2024-01-01,2025-08-01,19,397,504,0.7876984126984127
2024-01-01,2025-09-01,20,385,504,0.7638888888888888
2024-01-01,2025-10-01,21,368,504,0.7301587301587301
2024-01-01,2025-11-01,22,353,504,0.7003968253968254
2024-01-01,2025-12-01,23,340,504,0.6746031746031746
2024-02-01,2024-02-01,0,509,526,0.967680608365019
2024-02-01,2024-03-01,1,526,526,1.0
2024-02-01,2024-04-01,2,526,526,1.0
2024-02-01,2024-05-01,3,526,526,1.0
2024-02-01,2024-06-01,4,526,526,1.0
2024-02-01,2024-07-01,5,526,526,1.0
2024-02-01,2024-08-01,6,526,526,1.0
2024-02-01,2024-09-01,7,526,526,1.0
2024-02-01,2024-10-01,8,526,526,1.0
2024-02-01,2024-11-01,9,526,526,1.0
2024-02-01,2024-12-01,10,526,526,1.0
2024-02-01,2025-01-01,11,517,526,0.9828897338403042
2024-02-01,2025-02-01,12,504,526,0.9581749049429658
2024-02-01,2025-03-01,13,491,526,0.9334600760456274
2024-02-01,2025-04-01,14,478,526,0.908745247148289
2024-02-01,2025-05-01,15,469,526,0.8916349809885932
2024-02-01,2025-06-01,16,457,526,0.8688212927756654
2024-02-01,2025-07-01,17,441,526,0.8384030418250951
2024-02-01,2025-08-01,18,423,526,0.8041825095057035
2024-02-01,2025-09-01,19,403,526,0.7661596958174905
2024-02-01,2025-10-01,20,384,526,0.7300380228136882
2024-02-01,2025-11-01,21,362,526,0.688212927756654
2024-02-01,2025-12-01,22,349,526,0.6634980988593155
2024-03-01,2024-03-01,0,469,502,0.9342629482071713
2024-03-01,2024-04-01,1,502,502,1.0
2024-03-01,2024-05-01,2,502,502,1.0
2024-03-01,2024-06-01,3,502,502,1.0
2024-03-01,2024-07-01,4,502,502,1.0
2024-03-01,2024-08-01,5,502,502,1.0
2024-03-01,2024-09-01,6,502,502,1.0
2024-03-01,2024-10-01,7,502,502,1.0
2024-03-01,2024-11-01,8,502,502,1.0
2024-03-01,2024-12-01,9,502,502,1.0
2024-03-01,2025-01-01,10,493,502,0.9820717131474104
2024-03-01,2025-02-01,11,479,502,0.954183266932271
2024-03-01,2025-03-01,12,470,502,0.9362549800796812
2024-03-01,2025-04-01,13,441,502,0.8784860557768924
2024-03-01,2025-05-01,14,430,502,0.8565737051792829
2024-03-01,2025-06-01,15,417,502,0.8306772908366534
2024-03-01,2025-07-01,16,400,502,0.796812749003984
2024-03-01,2025-08-01,17,388,502,0.7729083665338645
2024-03-01,2025-09-01,18,377,502,0.750996015936255
2024-03-01,2025-10-01,19,358,502,0.7131474103585658
2024-03-01,2025-11-01,20,340,502,0.6772908366533864
2024-03-01,2025-12-01,21,327,502,0.651394422310757
2024-04-01,2024-04-01,0,477,495,0.9636363636363636
2024-04-01,2024-05-01,1,495,495,1.0
2024-04-01,2024-06-01,2,495,495,1.0
2024-04-01,2024-07-01,3,495,495,1.0
2024-04-01,2024-08-01,4,495,495,1.0
2024-04-01,2024-09-01,5,495,495,1.0
2024-04-01,2024-10-01,6,495,495,1.0
2024-04-01,2024-11-01,7,495,495,1.0
2024-04-01,2024-12-01,8,495,495,1.0
2024-04-01,2025-01-01,9,490,495,0.98989898989899
2024-04-01,2025-02-01,10,476,495,0.9616161616161616
